bin	ESO.all.snps	GBM.all.snps	lung.all.snps	liver.all.snps	mel.all.snps	MM.all.snp	CRC.all.snp	LUSC.all.snp	ESO.1060.ESO.all.snps	ESO.1163.ESO.all.snps	ESO.130.ESO.all.snps	ESO.409.ESO.all.snps	ESO.682.ESO.all.snps	ESO.721.ESO.all.snps	ESO.774.ESO.all.snps	ESO.838.ESO.all.snps	ESO.913.ESO.all.snps	TCGA.34.2596.LUSC.all.snps	TCGA.34.2600.LUSC.all.snps	TCGA.43.3394.LUSC.all.snps	TCGA.56.1622.LUSC.all.snps	TCGA.60.2711.LUSC.all.snps	TCGA.60.2713.LUSC.all.snps	TCGA.60.2722.LUSC.all.snps	TCGA.60.2724.LUSC.all.snps	TCGA.60.2726.LUSC.all.snps	TCGA.66.2756.LUSC.all.snps	TCGA.66.2757.LUSC.all.snps	TCGA.66.2766.LUSC.all.snps	TCGA.06.0145.GBM.all.snps	TCGA.06.0152.GBM.all.snps	TCGA.06.0155.GBM.all.snps	TCGA.06.0185.GBM.all.snps	TCGA.06.0188.GBM.all.snps	TCGA.06.0648.GBM.all.snps	TCGA.14.0786.GBM.all.snps	MM.0191.snp	MM.0242.snp	MM.0309.snp	MM.0319.snp	MM.0332.snp	MM.0335.snp	MM.0338.snp	MM.0343.snp	MM.0344.snp	MM.0356.snp	MM.0375.snp	MM.0376.snp	MM.0383.snp	MM.0387.snp	MM.0389.snp	MM.0390.snp	MM.0392.snp	MM.0406.snp	MM.0408.snp	MM.0412.snp	MM.0421.snp	MM.0425.snp	MM.0447.snp	CRC.0002.snp	CRC.0003.snp	CRC.0004.snp	CRC.0005.snp	CRC.0006.snp	CRC.0007.snp	CRC.0008.snp	CRC.0009.snp	CRC.0010.snp	all.RK032.snps	all.RK001.snps	all.RK027.snps	all.RK015.snps	all.RK067.snps	all.RK046.snps	all.RK031.snps	all.RK002.snps	all.RK084.snps	all.RK041.snps	all.RK006.snps	all.RK035.snps	all.RK033.snps	all.RK099.snps	all.RK029.snps	all.RK056.snps	all.RK022.snps	all.RK083.snps	all.RK042.snps	all.RK025.snps	all.RK026.snps	all.RK126.snps	all.RK048.snps	all.RK047.snps	all.RK051.snps	all.RK075.snps	all.RK107.snps	all.RK106.snps	all.RK019.snps	all.RK003.snps	all.RK086.snps	all.RK092.snps	all.RK020.snps	all.RK037.snps	all.RK054.snps	all.RK023.snps	all.RK007.snps	all.RK137.snps	all.RK133.snps	all.RK024.snps	all.RK098.snps	all.RK109.snps	all.RK016.snps	all.RK050.snps	all.RK004.snps	all.RK063.snps	all.RK010.snps	all.RK069.snps	all.RK108.snps	all.RK012.snps	all.RK089.snps	all.RK100.snps	all.RK021.snps	all.RK130.snps	all.RK036.snps	all.RK079.snps	all.RK049.snps	all.RK141.snps	all.RK068.snps	all.RK055.snps	all.RK034.snps	all.RK138.snps	all.RK005.snps	all.RK018.snps	all.ME001.Tumor.snps	all.ME002.Tumor.snps	all.ME007.Tumor.snps	all.ME011.Tumor.snps	all.ME016.Tumor.snps	all.ME018.Tumor.snps	all.ME020.Tumor.snps	all.ME021.Tumor.snps	all.ME024.Tumor.snps	all.ME029.Tumor.snps	all.ME030.Tumor.snps	all.ME035.Tumor.snps	all.ME037.Tumor.snps	all.ME041.Tumor.snps	all.ME043.Tumor.snps	all.ME044.Tumor.snps	all.ME048.Tumor.snps	all.ME049.Tumor.snps	all.ME050.Tumor.snps	all.MEL.0009.Tumor.snps	all.MEL.0012.Tumor.snps	all.MEL.0015.Tumor.snps	all.MEL.0032.Tumor.snps	all.MEL.0045.Tumor.snps	all.Mel_BRAFi_02_PRE.Tumor.snps	all.LUAD.AEIUF.Tumor.snps	all.LUAD.D02326.Tumor.snps	all.LUAD.E00934.Tumor.snps	all.LUAD.E01014.Tumor.snps	all.LUAD.E01278.Tumor.snps	all.LUAD.FH5PJ.Tumor.snps	all.LUAD.QY22Z.Tumor.snps	all.LUAD.S00488.Tumor.snps	all.LUAD.S01302.Tumor.snps	all.LUAD.S01331.Tumor.snps	all.LUAD.S01341.Tumor.snps	all.LUAD.S01345.Tumor.snps	all.LUAD.S01346.Tumor.snps	all.LUAD.S01356.Tumor.snps	all.LUAD.S01381.Tumor.snps	all.LUAD.S01404.Tumor.snps	all.LUAD.S01405.Tumor.snps	all.LUAD.S01467.Tumor.snps	all.LUAD.S01478.Tumor.snps	all.LUAD.U6SJ7.Tumor.snps	all.LU.A08.43.Tumor.snps	all.LUAD.2GUGK.Tumor.snps	all.LUAD.5V8LT.Tumor.snps	all.LUAD.E01317.Tumor.snps
chr1.100	105	11	770	265	483	77	52	331	9	17	3	5	23	17	6	14	11	20	18	8	23	7	24	36	30	31	50	22	34	1	3	0	4	0	3	0	4	0	4	4	3	8	16	6	7	2	4	0	2	1	3	1	0	2	0	3	4	2	1	2	3	3	10	5	5	7	13	4	6	6	10	4	4	7	4	5	7	14	16	20	1	2	3	7	5	0	0	4	0	7	6	6	7	1	6	7	4	2	3	5	1	1	2	6	12	4	3	1	1	2	1	4	8	3	4	0	3	2	3	4	8	2	1	4	0	0	0	1	1	1	1	2	21	27	3	10	17	20	22	12	17	20	12	22	16	9	33	35	12	35	27	38	11	2	14	5	33	16	3	52	16	29	13	59	24	91	24	11	10	43	35	12	12	35	10	59	19	6	24	139	28
chr1.101	33	19	234	171	367	44	26	110	2	5	2	2	4	3	4	5	6	3	3	8	7	3	13	10	9	6	23	4	11	3	3	3	1	1	5	3	5	2	0	2	1	0	2	2	2	2	3	0	0	1	7	1	1	0	1	3	3	1	5	4	4	1	1	1	0	9	5	1	3	3	7	3	2	4	3	2	1	8	7	5	0	3	1	6	2	2	0	1	2	8	2	2	5	4	2	0	1	1	4	1	1	2	1	9	2	5	1	3	2	0	0	2	3	5	2	0	5	3	2	5	12	1	4	3	0	1	1	0	1	0	0	0	17	15	3	11	16	8	6	7	24	7	8	10	8	9	23	19	9	20	18	55	8	0	20	8	31	5	0	13	3	10	3	18	6	34	5	3	11	8	11	2	0	7	4	18	3	2	9	54	5
chr1.102	71	8	554	188	545	47	48	288	7	19	3	5	2	11	10	7	7	18	13	5	28	4	22	36	40	17	49	18	25	0	1	1	2	2	1	1	5	1	2	1	4	3	4	1	0	0	3	3	1	2	5	3	0	0	2	1	3	1	2	5	6	4	7	3	4	6	10	3	3	5	5	7	3	2	0	2	7	7	6	15	0	1	4	2	1	3	2	1	3	9	7	1	5	1	7	5	3	2	2	2	4	5	1	2	4	2	3	0	1	0	2	2	2	1	3	0	4	3	1	4	6	1	3	3	1	0	0	0	4	2	1	0	18	27	3	17	28	14	24	10	29	16	10	31	17	14	34	34	12	38	37	50	13	1	12	13	34	13	2	22	9	20	14	23	16	74	19	2	17	60	32	16	12	19	4	41	11	4	10	99	15
chr1.103	206	33	966	502	873	81	66	596	23	40	16	16	24	24	21	24	18	34	24	30	54	11	40	75	69	96	51	39	40	7	4	6	3	5	6	2	9	5	1	0	4	5	7	6	2	6	2	2	6	1	6	1	0	2	2	4	3	2	5	3	7	11	5	11	2	13	11	3	12	18	23	15	16	11	7	14	7	10	31	23	1	9	11	12	9	3	1	7	3	6	14	10	9	6	10	9	15	7	14	13	4	5	4	17	5	12	3	0	6	2	3	4	15	6	3	1	6	2	6	6	16	1	1	7	2	2	1	1	0	2	2	1	36	64	2	18	33	31	35	14	68	26	16	22	30	17	55	45	29	84	42	50	22	11	10	30	69	21	2	37	14	40	39	52	32	96	23	1	7	107	51	17	13	41	26	62	16	3	32	211	23
chr1.106	199	48	1202	575	766	91	101	678	24	46	13	10	23	25	9	23	26	30	33	21	45	10	34	92	99	91	68	45	65	8	7	6	6	8	6	7	5	8	1	3	2	1	10	10	1	6	6	1	1	3	6	3	0	2	4	6	1	6	5	11	7	7	14	4	12	11	29	6	13	21	14	16	2	14	5	20	8	24	20	24	3	8	10	11	12	8	0	11	5	8	13	9	11	14	12	6	17	6	14	9	7	3	2	16	9	11	7	1	5	7	4	8	16	7	13	3	11	4	9	4	20	2	11	12	1	3	2	1	4	2	2	0	36	51	3	20	29	30	22	10	61	25	14	14	21	14	51	44	20	79	20	61	18	16	11	22	66	36	4	79	28	39	44	51	42	122	43	5	15	113	77	41	20	52	39	68	33	4	42	173	32
chr1.107	219	46	1247	617	1125	64	99	582	21	38	4	14	28	37	26	31	20	28	25	21	30	21	38	68	53	81	82	31	70	9	9	8	5	4	7	4	7	4	0	0	2	5	2	1	0	1	3	2	3	3	3	1	3	4	1	8	3	4	4	10	5	9	20	5	15	10	23	2	13	27	20	11	10	11	9	16	9	22	30	32	3	17	11	14	8	5	7	4	4	8	7	7	18	8	12	14	24	7	14	12	6	6	6	16	12	8	3	4	6	4	4	10	23	9	8	2	6	7	6	6	21	6	3	8	3	4	1	1	2	1	0	1	48	78	2	24	46	43	53	14	79	30	10	27	36	29	70	75	42	119	57	70	28	3	17	18	92	31	2	67	21	52	34	87	38	135	49	10	16	97	45	22	16	60	19	100	31	6	47	223	39
chr1.108	214	13	885	523	859	58	84	296	29	42	8	22	22	33	16	26	16	6	8	5	19	10	21	37	25	28	70	12	34	3	4	1	2	2	0	1	2	3	0	3	2	6	1	3	0	3	3	3	4	3	5	2	0	2	1	7	3	0	2	5	9	5	13	6	8	13	18	7	12	20	17	11	7	15	7	8	5	18	33	24	5	8	7	14	14	6	3	1	3	5	14	7	4	3	8	13	28	8	16	4	10	7	6	17	6	10	6	2	2	2	5	10	10	2	5	0	7	9	7	4	11	2	6	15	1	3	0	4	3	1	2	0	42	58	2	20	31	31	43	13	53	11	17	13	43	11	61	55	27	70	37	49	25	4	26	27	90	34	3	61	17	27	22	65	29	97	30	1	12	46	26	18	17	16	12	61	20	6	30	200	35
chr1.11	31	10	198	145	392	30	32	72	5	0	1	1	2	10	4	5	3	5	8	4	2	1	2	5	12	10	7	8	5	1	1	3	0	0	0	5	0	6	2	2	1	3	2	1	0	0	1	2	1	0	2	2	0	0	1	2	1	1	0	2	5	1	4	1	2	8	7	2	3	3	6	1	4	6	1	6	3	7	5	6	2	4	0	1	6	4	5	2	1	3	4	1	3	0	1	5	1	3	2	2	3	2	0	6	0	2	3	0	2	1	1	1	3	0	0	0	4	2	1	2	1	1	1	3	1	2	0	1	0	1	0	0	9	14	6	12	19	13	14	5	29	17	6	9	19	13	27	21	13	21	13	37	2	1	10	11	38	4	2	17	5	3	6	16	6	12	9	6	14	11	6	4	2	10	1	7	9	3	11	25	9
chr1.110	32	11	276	144	401	22	18	98	4	3	3	1	1	12	3	3	2	8	8	3	3	3	11	4	12	15	5	6	13	4	2	4	0	0	0	1	1	2	1	0	0	0	2	2	0	0	1	1	1	0	2	0	0	0	0	5	2	2	0	2	0	2	3	0	0	4	5	2	3	4	2	4	1	5	0	3	1	0	4	8	0	3	1	8	6	1	1	3	2	5	6	0	1	1	5	3	3	3	7	2	1	1	1	5	1	0	0	0	2	3	3	5	5	3	2	0	0	0	1	1	9	0	1	2	0	0	0	1	0	1	0	0	9	23	3	20	15	10	19	9	22	12	2	17	16	16	35	11	5	34	7	41	10	1	5	5	28	8	1	12	10	10	6	15	5	23	8	6	10	18	13	6	2	35	9	16	5	4	7	38	9
chr1.111	47	13	251	132	339	32	24	100	6	6	0	5	3	23	3	0	1	6	9	5	5	4	8	8	12	6	15	6	8	4	2	4	0	2	0	1	3	4	3	0	0	1	1	1	0	1	1	0	4	0	1	1	2	0	2	3	3	0	1	3	0	2	2	2	6	3	6	0	2	4	4	2	1	0	1	1	0	6	2	4	2	1	1	4	3	2	0	2	1	10	4	1	2	3	2	3	8	0	7	1	0	0	0	5	1	4	1	1	0	3	2	0	2	0	2	0	4	2	3	2	2	0	1	6	0	4	1	0	2	0	0	0	13	18	1	13	15	14	19	6	21	17	8	5	13	4	12	9	11	14	17	40	8	4	8	11	28	9	1	15	6	4	10	10	5	25	11	0	13	11	18	8	2	7	6	18	6	3	15	43	5
chr1.112	66	11	374	206	616	35	35	205	4	9	6	4	9	17	4	6	7	8	12	9	18	7	23	13	25	19	26	10	23	0	2	2	3	3	0	1	1	3	1	1	5	1	1	1	0	1	3	1	2	0	2	2	1	1	2	2	3	0	1	5	1	1	4	2	8	2	8	4	3	6	6	7	6	6	3	2	8	7	7	11	0	3	3	4	5	1	2	1	1	7	5	2	2	1	5	2	7	5	8	4	2	3	2	5	3	5	2	1	0	4	3	0	7	1	1	0	3	2	0	4	7	0	2	3	0	3	0	1	1	0	1	0	24	31	3	27	33	27	20	14	41	28	17	18	18	21	25	29	15	51	32	35	12	3	10	18	46	7	2	16	3	8	7	28	11	31	21	0	21	34	24	8	8	12	12	23	8	4	16	67	3
chr1.113	51	11	291	166	781	49	30	164	3	8	4	5	3	17	4	2	5	10	8	4	18	4	8	14	20	17	17	15	20	5	1	2	1	1	1	0	1	3	1	3	1	8	2	2	0	1	1	1	3	1	5	1	2	1	6	3	1	1	1	3	2	1	6	0	5	3	6	4	2	5	6	3	4	3	3	4	0	4	8	4	0	2	2	6	3	0	2	1	3	10	4	2	4	2	1	1	6	1	5	1	1	0	2	8	0	1	2	2	0	2	1	1	8	1	2	4	3	1	2	4	4	0	1	6	1	2	0	1	1	2	1	0	26	58	2	23	43	29	20	10	56	23	10	26	29	24	62	46	19	57	37	56	14	3	11	11	66	14	2	18	7	11	5	14	11	24	9	8	17	23	19	4	6	9	5	16	7	1	8	45	8
chr1.115	31	13	292	153	440	45	26	157	1	3	3	2	5	7	2	5	3	9	5	7	12	8	15	14	15	8	29	9	15	3	1	3	0	1	3	2	2	2	1	3	3	7	4	1	1	0	2	1	0	1	5	4	2	0	1	1	3	0	1	1	3	2	2	3	3	2	9	1	0	8	9	3	4	3	3	3	1	5	2	4	0	5	1	7	4	8	1	2	3	9	6	2	5	0	3	2	3	0	2	3	1	2	1	6	4	3	2	2	1	0	1	1	3	0	2	0	1	1	1	0	2	2	0	0	0	1	1	1	2	1	0	0	16	31	4	15	14	10	12	5	26	14	7	20	17	4	21	21	11	34	18	56	7	1	14	9	33	7	2	15	8	11	2	25	8	30	10	4	6	21	29	8	5	19	7	15	6	3	8	39	4
chr1.116	65	26	395	205	802	39	54	151	2	15	2	5	6	14	6	10	5	3	6	7	12	7	8	10	19	20	24	8	15	3	3	3	3	3	4	7	1	2	3	2	1	5	4	5	0	2	0	2	1	0	2	2	0	1	0	2	1	0	3	7	3	5	6	2	5	9	14	3	3	10	12	3	4	7	2	7	0	5	8	8	0	3	1	4	4	1	0	4	2	8	5	2	3	5	5	11	1	2	4	7	2	2	0	5	4	3	3	0	0	2	0	3	4	1	2	1	5	1	7	2	5	0	0	5	0	2	0	3	0	2	0	0	25	48	2	18	31	44	35	17	45	19	18	25	36	24	61	47	20	52	32	76	19	3	10	18	65	9	1	26	13	14	9	15	19	48	17	6	10	23	7	12	6	15	11	22	7	2	16	79	8
chr1.117	35	9	302	195	435	41	21	131	4	4	2	1	5	9	2	4	4	7	11	3	6	6	6	16	17	10	20	12	11	2	2	2	2	1	0	0	4	4	0	2	2	0	4	1	1	2	1	0	1	1	1	3	2	0	0	5	2	3	2	3	3	2	2	3	0	4	3	1	5	7	3	2	3	5	0	10	4	6	11	6	1	5	3	1	4	3	1	3	0	8	5	2	7	1	6	6	7	5	4	3	0	3	2	7	1	1	2	0	2	1	1	3	1	1	3	1	4	3	7	1	3	0	1	3	1	1	0	0	2	1	2	0	11	33	1	12	12	14	24	12	22	14	9	16	13	4	44	18	14	28	18	35	6	1	6	11	49	9	5	16	5	4	4	18	9	30	5	1	20	8	13	4	8	9	2	24	6	2	11	82	7
